network_name,mod_ref,mod_m1,mod_m2,mod_m3
airports_UW.net,0.0,0.0,0.6624902465629294,0.6873296654829841
zachary_unwh.net,0.37146614069691,0.40129848783694944,0.38067061143984215,0.4188034188034188
football.net,0.5539733187144229,0.5996290274077958,0.5497406651426808,0.6045695626834571
cat_cortex_sim.net,0.24599649162516984,0.049642246365876976,0.26043552889693683,0.2560437729490468
dolphins.net,0.37348206162730907,0.5193821446936434,0.49549068470392776,0.5188283691309677
20x2+5x2.net,0.5415859964709342,0.5425785462209587,0.5425785462209587,0.5425785462209587
star.net,0.0,0.0,0.0,0.0
graph4+4.net,0.42307692307692313,0.42307692307692313,0.42307692307692313,0.20414201183431957
graph3+1+3.net,0.3671875,0.3671875,0.3671875,0.3671875
256_4_4_4_13_18_p.net,0.6967733384846296,0.6974188902601712,0.6967733384846296,0.6974188902601712
rb125.net,0.6005948839976205,0.6034979179060083,0.6087328970850684,0.6087328970850684
256_4_4_2_15_18_p.net,0.7818042125081897,0.7818042125081897,0.7656597969165413,0.7818042125081897
